group,sample,method,composition_recovery
real_brca,real_brca_clustered_sim_scnoise10,CytoSPACE,0.6587978857396596
real_brca,real_brca_clustered_sim_scnoise10,SVTuner + CytoSPACE,0.6587978857396596
real_brca,real_brca_clustered_sim_scnoise10,"Tangram
(all genes)",0.6275283536836034
real_brca,real_brca_clustered_sim_scnoise10,"Tangram
(marker genes)",0.7256131934183968
real_brca,real_brca_clustered_sim_scnoise10,novoSpaRc,0.7313671634894935
real_brca,real_brca_clustered_sim_scnoise10,SpaOTsc,0.5800616916354157
real_brca,real_brca_clustered_sim_scnoise10,CellTrek,0.3516805819331943
real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,CytoSPACE,0.5909831560885975
real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,SVTuner + CytoSPACE,0.6401908607920593
real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,"Tangram
(all genes)",0.5666779001375074
real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,"Tangram
(marker genes)",0.6347353613815641
real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,novoSpaRc,0.6649238519896634
real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,SpaOTsc,0.5004831229617496
real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,CellTrek,0.30203897834995586
real_brca,real_brca_clustered_sim_missing_epithelial_monocytes_macrophages_scnoise10,CytoSPACE,0.4933947122392333
real_brca,real_brca_clustered_sim_missing_epithelial_monocytes_macrophages_scnoise10,SVTuner + CytoSPACE,0.5782119232399753
real_brca,real_brca_clustered_sim_missing_epithelial_monocytes_macrophages_scnoise10,"Tangram
(all genes)",0.4779671299963926
real_brca,real_brca_clustered_sim_missing_epithelial_monocytes_macrophages_scnoise10,"Tangram
(marker genes)",0.5302768921613419
real_brca,real_brca_clustered_sim_missing_epithelial_monocytes_macrophages_scnoise10,novoSpaRc,0.5458415998250957
real_brca,real_brca_clustered_sim_missing_epithelial_monocytes_macrophages_scnoise10,SpaOTsc,0.38758954739253026
real_brca,real_brca_clustered_sim_missing_epithelial_monocytes_macrophages_scnoise10,CellTrek,0.33052160625692406
real_brca,real_brca_clustered_sim_missing_epithelial_monocytes_endothelial_scnoise10,CytoSPACE,0.42760026948832786
real_brca,real_brca_clustered_sim_missing_epithelial_monocytes_endothelial_scnoise10,SVTuner + CytoSPACE,0.5371432379262433
real_brca,real_brca_clustered_sim_missing_epithelial_monocytes_endothelial_scnoise10,"Tangram
(all genes)",0.4265108114044776
real_brca,real_brca_clustered_sim_missing_epithelial_monocytes_endothelial_scnoise10,"Tangram
(marker genes)",0.46054441553120823
real_brca,real_brca_clustered_sim_missing_epithelial_monocytes_endothelial_scnoise10,novoSpaRc,0.4758115144505079
real_brca,real_brca_clustered_sim_missing_epithelial_monocytes_endothelial_scnoise10,SpaOTsc,0.33891880347120834
real_brca,real_brca_clustered_sim_missing_epithelial_monocytes_endothelial_scnoise10,CellTrek,0.36426720496452614
real_brca,real_brca_clustered_sim_missing_epithelial_monocytes_endothelial_fibroblasts_scnoise10,CytoSPACE,0.36444713125661465
real_brca,real_brca_clustered_sim_missing_epithelial_monocytes_endothelial_fibroblasts_scnoise10,SVTuner + CytoSPACE,0.49600018730582673
real_brca,real_brca_clustered_sim_missing_epithelial_monocytes_endothelial_fibroblasts_scnoise10,"Tangram
(all genes)",0.3694197772898588
real_brca,real_brca_clustered_sim_missing_epithelial_monocytes_endothelial_fibroblasts_scnoise10,"Tangram
(marker genes)",0.3860494700976509
real_brca,real_brca_clustered_sim_missing_epithelial_monocytes_endothelial_fibroblasts_scnoise10,novoSpaRc,0.4053285868696007
real_brca,real_brca_clustered_sim_missing_epithelial_monocytes_endothelial_fibroblasts_scnoise10,SpaOTsc,0.27273653313029417
real_brca,real_brca_clustered_sim_missing_epithelial_monocytes_endothelial_fibroblasts_scnoise10,CellTrek,0.2850043541681845
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_scnoise10,CytoSPACE,0.6142182042403599
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_scnoise10,SVTuner + CytoSPACE,0.6142182042403599
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_scnoise10,"Tangram
(all genes)",0.6658136213383488
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_scnoise10,"Tangram
(marker genes)",0.6794668056392917
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_scnoise10,novoSpaRc,0.6337652253998496
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_scnoise10,SpaOTsc,0.40707180574155033
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_scnoise10,CellTrek,0.601076452492036
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_ciliated_scnoise10,CytoSPACE,0.6181403239919478
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_ciliated_scnoise10,SVTuner + CytoSPACE,0.6353638583914005
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_ciliated_scnoise10,"Tangram
(all genes)",0.6705632722616361
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_ciliated_scnoise10,"Tangram
(marker genes)",0.6796965039945748
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_ciliated_scnoise10,novoSpaRc,0.6401275988027978
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_ciliated_scnoise10,SpaOTsc,0.41475053900923986
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_ciliated_scnoise10,CellTrek,0.6123337046262806
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_ciliated_endothelia_vascular_scnoise10,CytoSPACE,0.5812612179595257
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_ciliated_endothelia_vascular_scnoise10,SVTuner + CytoSPACE,0.7485242994192164
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_ciliated_endothelia_vascular_scnoise10,"Tangram
(all genes)",0.6147520658630291
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_ciliated_endothelia_vascular_scnoise10,"Tangram
(marker genes)",0.6185681824942749
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_ciliated_endothelia_vascular_scnoise10,novoSpaRc,0.5914377194735223
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_ciliated_endothelia_vascular_scnoise10,SpaOTsc,0.3755058386291932
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_ciliated_endothelia_vascular_scnoise10,CellTrek,0.5868414214324107
mouse_brain_refined,mouse_brain_refined8_balanced_clustered_sim_scnoise10,CytoSPACE,0.834144418747776
mouse_brain_refined,mouse_brain_refined8_balanced_clustered_sim_scnoise10,SVTuner + CytoSPACE,0.834144418747776
mouse_brain_refined,mouse_brain_refined8_balanced_clustered_sim_scnoise10,"Tangram
(all genes)",0.7716367461897259
mouse_brain_refined,mouse_brain_refined8_balanced_clustered_sim_scnoise10,"Tangram
(marker genes)",0.8368484040238703
mouse_brain_refined,mouse_brain_refined8_balanced_clustered_sim_scnoise10,novoSpaRc,0.8401772360425824
mouse_brain_refined,mouse_brain_refined8_balanced_clustered_sim_scnoise10,SpaOTsc,0.7547366239990673
mouse_brain_refined,mouse_brain_refined8_balanced_clustered_sim_scnoise10,CellTrek,0.6269749610650831
mouse_brain_refined,mouse_brain_refined8_balanced_clustered_sim_missing_micro_fill_ext_l56_scnoise10,CytoSPACE,0.7179477812191603
mouse_brain_refined,mouse_brain_refined8_balanced_clustered_sim_missing_micro_fill_ext_l56_scnoise10,SVTuner + CytoSPACE,0.7675261931969578
mouse_brain_refined,mouse_brain_refined8_balanced_clustered_sim_missing_micro_fill_ext_l56_scnoise10,"Tangram
(all genes)",0.6339893563340065
mouse_brain_refined,mouse_brain_refined8_balanced_clustered_sim_missing_micro_fill_ext_l56_scnoise10,"Tangram
(marker genes)",0.6456374098120922
mouse_brain_refined,mouse_brain_refined8_balanced_clustered_sim_missing_micro_fill_ext_l56_scnoise10,novoSpaRc,0.7331024229946087
mouse_brain_refined,mouse_brain_refined8_balanced_clustered_sim_missing_micro_fill_ext_l56_scnoise10,SpaOTsc,0.6504088036723384
mouse_brain_refined,mouse_brain_refined8_balanced_clustered_sim_missing_micro_fill_ext_l56_scnoise10,CellTrek,0.618195368214434
mouse_brain_refined,mouse_brain_refined8_balanced_clustered_sim_missing_micro_astro_ctx_fill_ext_l56_scnoise10,CytoSPACE,0.6556215948220876
mouse_brain_refined,mouse_brain_refined8_balanced_clustered_sim_missing_micro_astro_ctx_fill_ext_l56_scnoise10,SVTuner + CytoSPACE,0.7261581175902501
mouse_brain_refined,mouse_brain_refined8_balanced_clustered_sim_missing_micro_astro_ctx_fill_ext_l56_scnoise10,"Tangram
(all genes)",0.5702815124216127
mouse_brain_refined,mouse_brain_refined8_balanced_clustered_sim_missing_micro_astro_ctx_fill_ext_l56_scnoise10,"Tangram
(marker genes)",0.5796660186594739
mouse_brain_refined,mouse_brain_refined8_balanced_clustered_sim_missing_micro_astro_ctx_fill_ext_l56_scnoise10,novoSpaRc,0.672613186240646
mouse_brain_refined,mouse_brain_refined8_balanced_clustered_sim_missing_micro_astro_ctx_fill_ext_l56_scnoise10,SpaOTsc,0.5967049875758722
mouse_brain_refined,mouse_brain_refined8_balanced_clustered_sim_missing_micro_astro_ctx_fill_ext_l56_scnoise10,CellTrek,0.5981311807918287
mouse_brain_refined,mouse_brain_refined8_balanced_clustered_sim_missing_micro_astro_ctx_oligo_2_fill_ext_l56_scnoise10,CytoSPACE,0.5016139698488002
mouse_brain_refined,mouse_brain_refined8_balanced_clustered_sim_missing_micro_astro_ctx_oligo_2_fill_ext_l56_scnoise10,SVTuner + CytoSPACE,0.6285707572315583
mouse_brain_refined,mouse_brain_refined8_balanced_clustered_sim_missing_micro_astro_ctx_oligo_2_fill_ext_l56_scnoise10,"Tangram
(all genes)",0.4099006859039537
mouse_brain_refined,mouse_brain_refined8_balanced_clustered_sim_missing_micro_astro_ctx_oligo_2_fill_ext_l56_scnoise10,"Tangram
(marker genes)",0.42295779146664747
mouse_brain_refined,mouse_brain_refined8_balanced_clustered_sim_missing_micro_astro_ctx_oligo_2_fill_ext_l56_scnoise10,novoSpaRc,0.5200358475958493
mouse_brain_refined,mouse_brain_refined8_balanced_clustered_sim_missing_micro_astro_ctx_oligo_2_fill_ext_l56_scnoise10,SpaOTsc,0.4891758465611429
mouse_brain_refined,mouse_brain_refined8_balanced_clustered_sim_missing_micro_astro_ctx_oligo_2_fill_ext_l56_scnoise10,CellTrek,0.5565775126497772
